Index,CUSIP,ISIN,OAPermID,RIC,SEDOL,LipperID,Ticker
VNDY.NS,,INE707A01012,4295873768,VNDY.NS,,,VINDHYATEL
002313.SZ,,CNE100000HR4,4298154873,002313.SZ,B3QSHN0,,2313
002315.SZ,,CNE100000HT0,5000589883,002315.SZ,B457003,,2315
002316.SZ,,CNE100000HV6,5000664515,002316.SZ,B42XLJ0,,2316
KOGK.MM,,RU0002155359,4295887286,KOGK.MM,B55XDY3,,KOGK
SBER.MM,,RU0009029540,5000036115,SBER.MM,4767981,,SBER
SVAV.MM,,RU0006914488,4295887004,SVAV.MM,7425305,,SVAV
LNZL.MM,,RU000A0JP1N2,4297646809,LNZL.MM,B59FKF5,,LNZL
ASTE.NS,,INE563J01010,4298052943,ASTE.NS,B57CQV6,,ASTEC
SMLI.NS,,INE294B01019,4295873376,SMLI.NS,,,SMLISUZU
SARE.NS,,INE979A01017,4295873576,SARE.NS,,,SAREGAMA
VREL.NS,,INE945H01013,4295874090,VREL.NS,,,V2RETAIL
002317.SZ,,CNE100000HW4,5000587733,002317.SZ,B4K1BL8,,2317
002318.SZ,,CNE100000HX2,5000587737,002318.SZ,B4MVCH9,,2318
002319.SZ,,CNE100000HY0,5000588707,002319.SZ,B4L8BY1,,2319
002320.SZ,,CNE100000HZ7,5000591402,002320.SZ,B4YW560,,2320
002321.SZ,,CNE100000J00,5000591412,002321.SZ,B4X2X45,,2321
MTLR.MM,,RU000A0DKXV5,4295887178,MTLR.MM,B5960H0,,MTLR
AKRN.MM,,RU0009028674,4295887192,AKRN.MM,B5902M1,,AKRN
LSRG.MM,,RU000A0JPFP0,4298447330,LSRG.MM,B59F840,,LSRG
MGNT.MM,,RU000A0JKQU8,4295887264,MGNT.MM,B59GLW2,,MGNT
MVID.MM,,RU000A0JPGA0,4298014979,MVID.MM,B59SPB5,,MVID
MGTS.MM,,RU0009036461,4295887085,MGTS.MM,B59FS51,,MGTS
MTSS.MM,,RU0007775219,4295887158,MTSS.MM,B59FPS3,,MTSS
GMKN.MM,,RU0007288411,4295887092,GMKN.MM,B5B1TX2,,GMKN
KUBE.MM,,RU0009046767,4295887155,KUBE.MM,B5BM731,,KUBE
VSMO.MM,,RU0009100291,4295887179,VSMO.MM,B598M03,,VSMO
AFLT.MM,,RU0009062285,4295887102,AFLT.MM,B58X588,,AFLT
NKNC.MM,,RU0009100507,4295887243,NKNC.MM,B59LYW8,,NKNC
CHMK.MM,,RU0007665170,4295887257,CHMK.MM,B5BBBL4,,CHMK
CHEP.MM,,RU0009066807,4295887141,CHEP.MM,B59PZN8,,CHEP
NNSB.MM,,RU000A0ET5A1,4295887007,NNSB.MM,B59G5Q4,,NNSB
GAZP.MM,X3210BAB5,RU0007661625,4295887074,GAZP.MM,B59L4L7,,GAZP
PMSB.MM,,RU000A0ET123,4295887165,PMSB.MM,B585346,,PMSB
TATN.MM,,RU0009033591,4295887079,TATN.MM,B59BXN2,,TATN
CHMF.MM,,RU0009046510,4295887053,CHMF.MM,B5B9C59,,CHMF
OPIN.MM,,RU000A0DJ9B4,4295887168,OPIN.MM,B58MYJ9,,OPIN
MFGS.MM,,RU0009011126,4295887049,MFGS.MM,B5B6ZK6,,MFGS
BELU.MM,,RU000A0HL5M1,5000007147,BELU.MM,B57QZY4,,BELU
URKA.MM,,RU0007661302,4295887273,URKA.MM,B59MFL7,,URKA
RTKM.MM,,RU0008943394,4295887076,RTKM.MM,B58ZLT7,,RTKM
PLZL.MM,,RU000A0JNAA8,4295887134,PLZL.MM,B57R0L9,,PLZL
VZRZ.MM,,RU0009084214,4295887183,VZRZ.MM,B596ST8,,VZRZ
TRNF_p.MM,,RU0009091573,4295887170,TRNF_p.MM,B59NHY7,,TRNFP
ROSN.MM,,RU000A0J2Q06,4295887083,ROSN.MM,B59SS16,,ROSN
SIBN.MM,,RU0009062467,4295887091,SIBN.MM,B59L417,,SIBN
HALS.MM,,RU000A0JNP96,4298008806,HALS.MM,B5B8GW1,,HALS
PIKK.MM,,RU000A0JP7J7,4295887016,PIKK.MM,B59Q6G1,,PIKK
NVTK.MM,,RU000A0DKVS5,4295886976,NVTK.MM,B59HPK1,,NVTK
KROT.MM,,RU0008913850,4295887056,KROT.MM,B58MXK3,,KROT
LKOH.MM,,RU0009024277,4295887034,LKOH.MM,B59SNS8,,LKOH
RASP.MM,,RU000A0B90N8,4295887114,RASP.MM,B5800Q2,,RASP
ROST.MM,,RU000A0JP922,4295887217,ROST.MM,B57R0N1,,ROST
UKUZ.MM,,RU0005294775,4295887005,UKUZ.MM,B596PK8,,UKUZ
TUZA.MM,,RU000A0HL7A2,4297517981,TUZA.MM,B5BK7S0,,TUZA
SHME.NS,,INE790G01031,4295873197,SHME.NS,,,SHILPAMED
SAEM.NS,,INE385C01013,4295872227,SAEM.NS,,,SARDAEN
002322.SZ,,CNE100000J18,5000592552,002322.SZ,B4XQ6S2,,2322
002324.SZ,,CNE100000J34,5000592621,002324.SZ,B4X7920,,2324
002326.SZ,,CNE100000J59,4298476878,002326.SZ,B4VGLF6,,2326
COMEST.MM,,RU000A0ERGA7,5000057672,COMEST.MM,BG3DX64,68014306,RU000A0ERGA7
CHKZ.MM,,RU000A0JNST0,4296689773,CHKZ.MM,B58GGH3,,CHKZ
GCHE.MM,,RU000A0JL4R1,4295887236,GCHE.MM,B5B9CR1,,GCHE
MGNZ.MM,,RU0009100911,4295887252,MGNZ.MM,B59RP45,,MGNZ
PRMB.MM,,RU000A0DPNQ5,4297753251,PRMB.MM,B5BKV44,,PRMB
SZPR.MM,,RU0009100861,4295887247,SZPR.MM,B59B0S6,,SZPR
601101.SS,,CNE100000N12,4298345468,601101.SS,B3SDKF6,,601101
601678.SS,,CNE100000L97,5000431966,601678.SS,B601MS6,,601678
002327.SZ,,CNE100000JP4,5000610260,002327.SZ,B54DYJ6,,2327
002328.SZ,,CNE100000JQ2,5000604635,002328.SZ,B54W9Y3,,2328
RAGU.BO,,INE969C01014,4296329713,RAGU.BO,B03K6J7,,514316
BRFS3.SA,,BRBRFSACNOR8,4295859753,BRFS3.SA,2036995,,BRFS3
AVAN.MM,,RU000A0DM7B3,4296190090,AVAN.MM,B59LYC8,,AVAN
300034.SZ,,CNE100000JH1,5000603575,300034.SZ,B4ZFZX5,,300034
300033.SZ,,CNE100000JG3,5000607983,300033.SZ,B4ZW310,,300033
300036.SZ,,CNE100000JK5,5000604552,300036.SZ,B504YD7,,300036
300031.SZ,,CNE100000JD0,5000603557,300031.SZ,B54PP99,,300031
002331.SZ,,CNE100000JV2,5000611229,002331.SZ,B58GTB8,,2331
AHLU.NS,,INE758C01029,4295872736,AHLU.NS,,,AHLUCONT
DLIL.NS,,INE250K01012,4295872188,DLIL.NS,B53LHQ9,,DLINKINDIA
FLRY3.SA,,BRFLRYACNOR5,4297541203,FLRY3.SA,B4X4D29,,FLRY3
RAEV.NS,,INE222J01013,5049727663,RAEV.NS,,,RANEENGINE
002332.SZ,,CNE100000K64,4297898688,002332.SZ,B52K5Z2,,2332
002333.SZ,,CNE100000K56,4298151280,002333.SZ,B53Z6B9,,2333
CIEL3.SA,,BRCIELACNOR3,4297539270,CIEL3.SA,B614LY3,,CIEL3
300042.SZ,,CNE100000JW0,4297978282,300042.SZ,B50JQ36,,300042
300040.SZ,,CNE100000JY6,5000623738,300040.SZ,B51PWZ7,,300040
300041.SZ,,CNE100000JX8,5000615004,300041.SZ,B542LP8,,300041
300038.SZ,,CNE100000K07,5000612445,300038.SZ,B548RV4,,300038
300037.SZ,,CNE100000K15,5000612421,300037.SZ,B54BB99,,300037
002335.SZ,,CNE100000K31,4298435474,002335.SZ,B567GM3,,2335
002336.SZ,,CNE100000K23,5000613386,002336.SZ,B5LD5D0,,2336
002338.SZ,,CNE100000K80,5000618298,002338.SZ,B5LD198,,2338
002339.SZ,,CNE100000KV0,5000631858,002339.SZ,B5VJD45,,2339
002341.SZ,,CNE100000KS6,5000618918,002341.SZ,B5SKVD6,,2341
300045.SZ,,CNE100000KL1,5000618956,300045.SZ,B5KQ4C2,,300045
300044.SZ,,CNE100000KM9,5000621042,300044.SZ,B5L04S9,,300044
300050.SZ,,CNE100000KF3,5000617749,300050.SZ,B5LNDW5,,300050
300049.SZ,,CNE100000KG1,5000617745,300049.SZ,B5LWGS9,,300049
300043.SZ,,CNE100000KN7,5000622675,300043.SZ,B5M7JN9,,300043
300047.SZ,,CNE100000KJ5,5000617737,300047.SZ,B5M7KT2,,300047
300046.SZ,,CNE100000KK3,5000618976,300046.SZ,B5NWQB0,,300046
JSWE.NS,,INE121E01018,4298036035,JSWE.NS,,,JSWENERGY
002343.SZ,,CNE100000KQ0,4298150018,002343.SZ,B59RGS6,,2343
GODR.NS,,INE484J01027,4297771460,GODR.NS,,,GODREJPROP
DBCL.NS,,INE950I01011,4297832642,DBCL.NS,,,DBCORP
601117.SS,,CNE100000KC0,5000073482,601117.SS,B58R0Z2,,601117
601877.SS,,CNE100000KD8,5000621484,601877.SS,B5V7S33,,601877
002346.SZ,,CNE100000KY4,5000626686,002346.SZ,B5VGGP8,,2346
BAYE.NS,,INE462A01022,4295872262,BAYE.NS,,,BAYERCROP
NEST.NS,,INE239A01016,4295872265,NEST.NS,,,NESTLEIND
UNIL.NS,,INE458F01011,4297826914,UNIL.NS,B5LQVR5,,UNITEDTEA
TTRO.NS,,INE391D01019,4295874268,TTRO.NS,,,TRF
TTKH.NS,,INE910C01018,4295872676,TTKH.NS,,,TTKHLTCARE
WHIR.NS,,INE716A01013,4295873259,WHIR.NS,,,WHIRLPOOL
002349.SZ,,CNE100000L14,5000627984,002349.SZ,B5TVG33,,2349
002350.SZ,,CNE100000L06,4298155130,002350.SZ,B5MLCP4,,2350
002352.SZ,,CNE100000L63,5000629076,002352.SZ,B3P1NF4,,2352
002353.SZ,,CNE100000L55,5000629080,002353.SZ,B60Q9M4,,2353
601801.SS,,CNE100000KB2,4297947933,601801.SS,B5V3YM2,,601801
002355.SZ,,CNE100000LC8,4298151746,002355.SZ,B3PMK12,,2355
002356.SZ,,CNE100000LD6,5000629989,002356.SZ,B3LMY81,,2356
002357.SZ,,CNE100000LF1,5000633725,002357.SZ,B3L6MQ7,,2357
002358.SZ,,CNE100000LG9,5000634138,002358.SZ,B3LDLF0,,2358
002359.SZ,,CNE100000LH7,5000635128,002359.SZ,B3MXHD9,,2359
300053.SZ,,CNE100000LL9,5000632931,300053.SZ,B3MH474,,300053
300052.SZ,,CNE100000LK1,5000642178,300052.SZ,B3MHWC5,,300052
300054.SZ,,CNE100000LM7,5000632930,300054.SZ,B3NXYR1,,300054
300051.SZ,,CNE100000LJ3,5000632934,300051.SZ,B62JB36,,300051
ALSC3.SA,,BRALSCACNOR0,4297644558,ALSC3.SA,B23FNB7,,ALSC3
002362.SZ,,CNE100000LW6,5000637135,002362.SZ,B61LQF0,,2362
